title,year,link,price,city,date,views,is_verified_seller,is_from_dealer,is_official_dealer,mean_price,offer_price,generation,bodywork,engine_volume,mileage,transmission,drive,wheel,color,customs_clearance_in_kz,city_filter,price_numeric,engine_volume_num,brand,price_diff,is_bargain,car_age,price_per_year
Toyota land cruiser premium,2021,https://kolesa.kz/a/show/200050759?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=15,74890000,Астана,30 апреля,3341,False,False,True,67236000.0,74 890 000 ₸,2021 - н.в. J300,Внедорожник,3.5 (бензин),0,Автомат,Полный привод,Слева,Не указан,Да,all,74890000,3.5,Toyota,-7654000.0,No,5,12481666.666666666
Mercedes-benz g 63 amg,2018,https://kolesa.kz/a/show/216820595?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=16,110000000,Алматы,30 апреля,834,False,False,False,113951000.0,110 000 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),57500,Автомат,Полный привод,Слева,Черный металлик,Да,all,110000000,4.0,Mercedes-benz,3951000.0,No,8,12222222.222222222
Mercedes-benz eqv,2019,https://kolesa.kz/a/show/207478684?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=17,117000000,Петропавловск,30 апреля,750,False,False,False,79103000.0,117 000 000 ₸,2019 - н.в. 1 поколение,Минивэн,Не указан,7000,Автомат,Передний привод,Слева,Черный,Да,all,117000000,3.5,Mercedes-benz,-37897000.0,No,7,14625000.0
Mercedes-benz s 63 amg,2020,https://kolesa.kz/a/show/218641405?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=18,144500000,Алматы,30 апреля,143,False,False,False,79103000.0,144 500 000 ₸,2020 - н.в. W223,Седан,4 (гибрид),0,Автомат,Полный привод,Слева,Черный,Нет,all,144500000,4.0,Mercedes-benz,-65397000.0,No,6,20642857.14285714
Lexus lx 600,2021,https://kolesa.kz/a/show/217433659?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=19,67000000,Алматы,30 апреля,927,False,False,False,69560000.0,67 000 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (бензин),85000,Автомат,Полный привод,Слева,Не указан,Да,all,67000000,3.5,Lexus,2560000.0,No,5,11166666.666666666
Rolls-royce ghost,2014,https://kolesa.kz/a/show/216987249?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=20,90000000,Алматы,30 апреля,2085,False,False,False,79103000.0,90 000 000 ₸,2014 - 2020 1 поколение рестайлинг (RR4),Седан,6.6 (бензин),13000,Автомат,Задний привод,Слева,Белый,Да,all,90000000,6.6,Rolls-royce,-10897000.0,No,12,6923076.923076923
Bmw x7,2022,https://kolesa.kz/a/show/217461084?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=22,94290000,Павлодар,30 апреля,692,False,False,True,79300000.0,94 290 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),0,Автомат,Полный привод,Слева,Не указан,Да,all,94290000,3.0,Bmw,-14990000.0,No,4,18858000.0
Infiniti qx80 autograph,2024,https://kolesa.kz/a/show/209243106?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=23,88990000,Алматы,30 апреля,4316,False,False,True,79103000.0,88 990 000 ₸,2024 - н.в. Z63,Внедорожник,3.5 (бензин),0,Автомат,Полный привод,Слева,Не указан,Да,all,88990000,3.5,Infiniti,-9887000.0,No,2,29663333.333333332
Bmw m5,2020,https://kolesa.kz/a/show/218117563?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=24,60000000,Алматы,30 апреля,1049,False,False,False,60175000.0,60 000 000 ₸,2020 - н.в. F90 рестайлинг,Седан,4.4 (бензин),74000,Автомат,Полный привод,Слева,Не указан,Да,all,60000000,4.4,Bmw,175000.0,No,6,8571428.57142857
Mercedes-benz v 300 exclusive,2014,https://kolesa.kz/a/show/193695288?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=25,74306120,Алматы,30 апреля,4046,False,False,True,79103000.0,74 306 120 ₸,2014 - н.в. W447,Минивэн,2 (дизель),5,Автомат,Полный привод,Слева,Синий,Да,all,74306120,2.0,Mercedes-benz,4796880.0,Yes,12,5715855.384615385
Mercedes-maybach gls 600 4matic,2019,https://kolesa.kz/a/show/198299503?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=26,159000000,Алматы,30 апреля,10800,True,False,False,79103000.0,159 000 000 ₸,2019 - н.в. 1 поколение,Внедорожник,4 (гибрид),0,Автомат,Полный привод,Слева,Черный металлик,Да,all,159000000,4.0,Mercedes-maybach,-79897000.0,No,7,19875000.0
Porsche macan turbo,2024,https://kolesa.kz/a/show/215956970?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=27,101220000,Алматы,30 апреля,856,False,False,True,79103000.0,101 220 000 ₸,2024 - н.в. 2 поколение,Кроссовер,Не указан,0,Автомат,Полный привод,Слева,Серый металлик,Да,all,101220000,3.5,Porsche,-22117000.0,No,2,33740000.0
Mercedes-benz s 450,2020,https://kolesa.kz/a/show/186071268?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=28,71000000,Астана,30 апреля,841,False,False,False,69375000.0,71 000 000 ₸,2020 - н.в. W223,Седан,3 (бензин),23000,Автомат,Полный привод,Слева,Серый,Да,all,71000000,3.0,Mercedes-benz,-1625000.0,No,6,10142857.142857144
Lexus lx 600,2021,https://kolesa.kz/a/show/176259500?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=29,83300000,Костанай,30 апреля,2684,False,False,False,79103000.0,83 300 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (бензин),19000,Автомат,Полный привод,Слева,Черный металлик,Да,all,83300000,3.5,Lexus,-4197000.0,No,5,13883333.333333334
Toyota land cruiser,2021,https://kolesa.kz/a/show/216275160?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=30,68300000,Алматы,30 апреля,2548,False,False,False,67236000.0,68 300 000 ₸,2021 - н.в. J300,Внедорожник,3.5 (бензин),10500,Автомат,Полный привод,Слева,Черный металлик,Да,all,68300000,3.5,Toyota,-1064000.0,No,5,11383333.333333334
Porsche cayenne,2017,https://kolesa.kz/a/show/185520711?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=31,110000000,Алматы,30 апреля,459,False,False,False,79103000.0,110 000 000 ₸,2017 - н.в. 3 поколение (9YA),Кроссовер,4 (бензин),8000,Автомат,Полный привод,Слева,Не указан,Да,all,110000000,4.0,Porsche,-30897000.0,No,9,11000000.0
Bmw x5,2023,https://kolesa.kz/a/show/204042459?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=32,70550000,Алматы,30 апреля,378,False,False,False,65066000.0,70 550 000 ₸,2023 - н.в. G05 рестайлинг,Кроссовер,3 (бензин),7,Автомат,Полный привод,Слева,Черный металлик,Да,all,70550000,3.0,Bmw,-5484000.0,No,3,17637500.0
Bmw x5,2023,https://kolesa.kz/a/show/213136340?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=33,68000000,Усть-каменогорск,30 апреля,2706,False,False,False,65066000.0,68 000 000 ₸,2023 - н.в. G05 рестайлинг,Кроссовер,3 (бензин),16500,Автомат,Полный привод,Слева,Серый,Да,all,68000000,3.0,Bmw,-2934000.0,No,3,17000000.0
Bmw x7 xdrive 40i,2022,https://kolesa.kz/a/show/213945864?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=34,90138000,Кокшетау,30 апреля,1732,False,False,True,79300000.0,90 138 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),0,Автомат,Полный привод,Слева,Не указан,Да,all,90138000,3.0,Bmw,-10838000.0,No,4,18027600.0
Bmw x7,2022,https://kolesa.kz/a/show/217480273?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=35,69000000,Алматы,30 апреля,288,False,False,False,73673000.0,69 000 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,4.4 (бензин),35000,Автомат,Полный привод,Слева,Не указан,Да,all,69000000,4.4,Bmw,4673000.0,Yes,4,13800000.0
Mercedes-benz gle 53 amg 4matic,2019,https://kolesa.kz/a/show/203739668?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=36,84900000,Астана,30 апреля,3765,False,False,True,79103000.0,84 900 000 ₸,2019 - н.в. V167,Кроссовер,3 (бензин),0,Автомат,Полный привод,Слева,Черный металлик,Да,all,84900000,3.0,Mercedes-benz,-5797000.0,No,7,10612500.0
Lexus lx 600,2021,https://kolesa.kz/a/show/211249606?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=37,65000000,Астана,30 апреля,6485,False,False,False,69560000.0,65 000 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (бензин),53000,Автомат,Полный привод,Слева,Белый металлик,Да,all,65000000,3.5,Lexus,4560000.0,Yes,5,10833333.333333334
Bmw x7,2022,https://kolesa.kz/a/show/175348181?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=38,63000000,Тараз,30 апреля,23490,False,False,False,55680000.0,63 000 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),35000,Автомат,Полный привод,Слева,Черный металлик,Да,all,63000000,3.0,Bmw,-7320000.0,No,4,12600000.0
Mercedes-benz g 63 amg,2018,https://kolesa.kz/a/show/212615753?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=39,118000000,Алматы,30 апреля,97,False,False,False,113951000.0,118 000 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),40000,Автомат,Полный привод,Слева,Черный металлик,Да,all,118000000,4.0,Mercedes-benz,-4049000.0,No,8,13111111.111111112
Bmw m5,2024,https://kolesa.kz/a/show/217668600?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=40,97000000,Алматы,30 апреля,692,True,False,False,79103000.0,97 000 000 ₸,,Седан,4.4 (гибрид),2262,Автомат,Полный привод,Слева,Зеленый,Да,all,97000000,4.4,Bmw,-17897000.0,No,2,32333333.333333332
Rolls-royce ghost,2009,https://kolesa.kz/a/show/218642576?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=46,82000000,Алматы,30 апреля,76,False,False,False,79103000.0,82 000 000 ₸,2009 - 2014 1 поколение (RR4),Седан,6.6 (бензин),98000,Автомат,Задний привод,Слева,Не указан,Да,all,82000000,6.6,Rolls-royce,-2897000.0,No,17,4555555.555555556
Zeekr 9x,2025,https://kolesa.kz/a/show/209783399?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=47,60000000,Алматы,30 апреля,7362,False,False,False,54909000.0,60 000 000 ₸,2025 - н.в. 1 поколение,Кроссовер,2 (бензин),20,Автомат,Полный привод,Слева,Черный металлик,Да,all,60000000,2.0,Zeekr,-5091000.0,No,1,30000000.0
Lamborghini urus,2017,https://kolesa.kz/a/show/213690509?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=48,130000000,Алматы,30 апреля,25698,False,False,False,79103000.0,130 000 000 ₸,2017 - н.в. 1 поколение,Кроссовер,4 (бензин),37000,Автомат,Полный привод,Слева,Синий,Да,all,130000000,4.0,Lamborghini,-50897000.0,No,9,13000000.0
Byd yangwang u8,2023,https://kolesa.kz/a/show/183357483?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=49,65000000,Шымкент,30 апреля,761,False,False,False,78071000.0,65 000 000 ₸,2023 - н.в. 1 поколение,Внедорожник,2 (гибрид),29000,Автомат,Полный привод,Слева,Бирюзовый,Да,all,65000000,2.0,Byd,13071000.0,Yes,3,16250000.0
Bmw x7 xdrive 40i,2022,https://kolesa.kz/a/show/213945874?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=50,90138000,Аксу,30 апреля,1394,False,False,True,79300000.0,90 138 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),0,Автомат,Полный привод,Слева,Не указан,Да,all,90138000,3.0,Bmw,-10838000.0,No,4,18027600.0
Bmw 550,2023,https://kolesa.kz/a/show/217030536?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=51,68250000,Астана,30 апреля,455,True,False,False,79103000.0,68 250 000 ₸,2023 - н.в. G60,Седан,3 (гибрид),9462,Автомат,Полный привод,Слева,Синий,Да,all,68250000,3.0,Bmw,10853000.0,Yes,3,17062500.0
Land rover range rover sport dynamic se,2022,https://kolesa.kz/a/show/217206869?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=52,104391000,Павлодар,30 апреля,435,True,False,False,79103000.0,104 391 000 ₸,2022 - н.в. 3 поколение,Внедорожник,3 (бензин),20,Автомат,Полный привод,Слева,Черный металлик,Да,all,104391000,3.0,Land,-25288000.0,No,4,20878200.0
Land rover range rover hse,2021,https://kolesa.kz/a/show/218477041?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=53,124069000,Астана,30 апреля,166,False,False,True,79103000.0,124 069 000 ₸,2021 - н.в. 5 поколение,Внедорожник,3 (бензин),1,Автомат,Полный привод,Слева,Золотистый металлик,Да,all,124069000,3.0,Land,-44966000.0,No,5,20678166.666666668
Mercedes-benz g 63 amg 4matic,2018,https://kolesa.kz/a/show/217725896?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=54,85000000,Алматы,30 апреля,471,True,False,False,79103000.0,85 000 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),0,Автомат,Полный привод,Слева,Белый,Нет,all,85000000,4.0,Mercedes-benz,-5897000.0,No,8,9444444.444444444
Mercedes-benz g 63 amg,2024,https://kolesa.kz/a/show/215510123?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=55,153000000,Астана,30 апреля,563,False,False,False,177311000.0,153 000 000 ₸,2024 - н.в. W463 рестайлинг,Внедорожник,4 (бензин),18000,Автомат,Полный привод,Слева,Серебристый металлик,Да,all,153000000,4.0,Mercedes-benz,24311000.0,Yes,2,51000000.0
Mercedes-benz g 63 amg,2018,https://kolesa.kz/a/show/217619316?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=56,76000000,Алматы,30 апреля,893,False,False,False,79103000.0,76 000 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),15400,Автомат,Полный привод,Слева,Черный,Нет,all,76000000,4.0,Mercedes-benz,3103000.0,No,8,8444444.444444444
Lexus lx 600,2021,https://kolesa.kz/a/show/217394607?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=57,73000000,Актау,30 апреля,463,False,False,False,73055000.0,73 000 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (бензин),90000,Автомат,Полный привод,Слева,Не указан,Да,all,73000000,3.5,Lexus,55000.0,No,5,12166666.666666666
Bmw m5,2024,https://kolesa.kz/a/show/217763006?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=58,113056188,Шымкент,30 апреля,865,True,False,False,79103000.0,113 056 188 ₸,,Седан,4.4 (гибрид),0,Автомат,Полный привод,Слева,Синий,Да,all,113056188,4.4,Bmw,-33953188.0,No,2,37685396.0
Bmw x7 xdrive 40i,2022,https://kolesa.kz/a/show/218603724?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=59,81000000,Костанай,30 апреля,52,False,False,True,79300000.0,81 000 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),0,Автомат,Полный привод,Слева,Черный металлик,Да,all,81000000,3.0,Bmw,-1700000.0,No,4,16200000.0
Mercedes-maybach gls 600,2019,https://kolesa.kz/a/show/218603018?search_id=dea713409444a65962ed7e87d7c6a43053f64854&search_type=filter&advert_position=60,117000000,Астана,30 апреля,62,False,True,False,79103000.0,117 000 000 ₸,2019 - н.в. 1 поколение,Внедорожник,4 (гибрид),7091,Автомат,Полный привод,Слева,Не указан,Да,all,117000000,4.0,Mercedes-maybach,-37897000.0,No,7,14625000.0
Mercedes-benz gle 63 amg,2019,https://kolesa.kz/a/show/214322582?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=63,84000000,Алматы,30 апреля,3157,False,False,False,87875000.0,84 000 000 ₸,2019 - н.в. V167,Кроссовер,4 (бензин),2800,Автомат,Полный привод,Слева,Не указан,Да,all,84000000,4.0,Mercedes-benz,3875000.0,No,7,10500000.0
Bmw x7 xdrive 40i,2022,https://kolesa.kz/a/show/216562089?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=64,105327000,Павлодар,30 апреля,1061,False,False,True,79103000.0,105 327 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),0,Автомат,Полный привод,Слева,Черный металлик,Да,all,105327000,3.0,Bmw,-26224000.0,No,4,21065400.0
Nissan patrol,2024,https://kolesa.kz/a/show/209570347?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=65,64990000,Алматы,30 апреля,4499,False,False,True,79103000.0,64 990 000 ₸,2024 - н.в. Y63,Внедорожник,3.5 (бензин),0,Автомат,Полный привод,Слева,Не указан,Да,all,64990000,3.5,Nissan,14113000.0,Yes,2,21663333.333333332
Mercedes-benz s 580 4matic,2020,https://kolesa.kz/a/show/217110090?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=66,124607200,Алматы,30 апреля,1071,False,False,True,79103000.0,124 607 200 ₸,2020 - н.в. W223,Седан,4 (бензин),7,Автомат,Полный привод,Слева,Черный металлик,Да,all,124607200,4.0,Mercedes-benz,-45504200.0,No,6,17801028.57142857
Mercedes-benz g 580 eq 4matic,2018,https://kolesa.kz/a/show/198196233?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=67,121075000,Алматы,30 апреля,8748,False,False,True,79103000.0,121 075 000 ₸,2018 - н.в. W463,Внедорожник,Не указан,0,Автомат,Полный привод,Слева,Коричневый,Да,all,121075000,3.5,Mercedes-benz,-41972000.0,No,8,13452777.777777778
Porsche macan t,2021,https://kolesa.kz/a/show/216322072?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=69,61530000,Алматы,30 апреля,345,False,False,True,79103000.0,61 530 000 ₸,2021 - н.в. 1 поколение [2-й рестайлинг] (95B),Кроссовер,2 (бензин),0,Робот,Полный привод,Слева,Серый металлик,Да,all,61530000,2.0,Porsche,17573000.0,Yes,5,10255000.0
Mercedes-benz gls 450 4matic,2019,https://kolesa.kz/a/show/172746914?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=70,74000000,Астана,30 апреля,3733,False,False,True,84971000.0,74 000 000 ₸,2019 - н.в. X167,Внедорожник,3 (бензин),0,Автомат,Полный привод,Слева,Синий металлик,Да,all,74000000,3.0,Mercedes-benz,10971000.0,Yes,7,9250000.0
Mercedes-benz s 63 amg,2020,https://kolesa.kz/a/show/180090209?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=71,139000000,Астана,30 апреля,22849,False,False,False,79103000.0,139 000 000 ₸,2020 - н.в. W223,Седан,4 (гибрид),0,Автомат,Полный привод,Слева,Черный металлик,Да,all,139000000,4.0,Mercedes-benz,-59897000.0,No,6,19857142.85714286
Toyota land cruiser,2021,https://kolesa.kz/a/show/217666358?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=72,65000000,Алматы,30 апреля,435,False,False,False,52628000.0,65 000 000 ₸,2021 - н.в. J300,Внедорожник,3.5 (бензин),15000,Автомат,Полный привод,Слева,Не указан,Да,all,65000000,3.5,Toyota,-12372000.0,No,5,10833333.333333334
Mercedes-benz g 63 amg,2018,https://kolesa.kz/a/show/216752837?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=73,108000000,Алматы,30 апреля,1820,False,False,False,113951000.0,108 000 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),17000,Автомат,Полный привод,Слева,Не указан,Да,all,108000000,4.0,Mercedes-benz,5951000.0,Yes,8,12000000.0
Land rover range rover,2017,https://kolesa.kz/a/show/217385594?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=74,63000000,Астана,30 апреля,452,False,False,False,48804000.0,63 000 000 ₸,2017 - 2022 4 поколение рестайлинг,Внедорожник,5 (бензин),21000,Автомат,Полный привод,Слева,Бордовый,Да,all,63000000,5.0,Land,-14196000.0,No,9,6300000.0
Lexus lx 600,2021,https://kolesa.kz/a/show/211349855?search_id=8c823cb8bdcad811b06f27aec73840489347aa24&search_type=filter&advert_position=75,80500000,Уральск,30 апреля,2846,False,False,False,79103000.0,80 500 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (бензин),50050,Автомат,Полный привод,Слева,Черный,Да,all,80500000,3.5,Lexus,-1397000.0,No,5,13416666.666666666
