title,year,link,price,monthly_payment,down_payment_pct,city,date,views,is_verified_seller,is_from_dealer,is_official_dealer,down_payment,mean_price,offer_price,generation,bodywork,engine_volume,mileage,transmission,drive,wheel,color,customs_clearance_in_kz,city_filter,price_numeric
Infiniti QX80 Autograph,2024,https://kolesa.kz/a/show/209675452?search_id=426ce9be46fcc6b33c4aed37bfb918622d01db9c&search_type=filter&advert_position=258,61 542 000₸,,,Алматы,30 апреля,3469,TRUE,FALSE,FALSE,,69 924 000 ₸,61 542 000 ₸,2024 - н.в. Z63,Внедорожник,3.5 (бензин),13 394 км,Автомат,Полный привод,Слева,белый металлик,Да,all,61542000
Maserati GranCabrio Trofeo,2024,https://kolesa.kz/a/show/174285076?search_id=426ce9be46fcc6b33c4aed37bfb918622d01db9c&search_type=filter&advert_position=259,131 400 000₸,,,Астана,30 апреля,4880,TRUE,FALSE,FALSE,,,131 400 000 ₸,2024 - н.в. 2 поколение,Кабриолет,3 (бензин),,Автомат,Задний привод,Слева,белый металлик,Да,all,131400000
Mercedes-Benz G 63 AMG 4MATIC,2018,https://kolesa.kz/a/show/215149233?search_id=426ce9be46fcc6b33c4aed37bfb918622d01db9c&search_type=filter&advert_position=260,192 000 000₸,,,Шымкент,30 апреля,2391,FALSE,FALSE,TRUE,,,192 000 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),26 км,Автомат,Полный привод,Слева,черный металлик,Да,all,192000000
Mercedes-Benz G 63 AMG 4MATIC,2018,https://kolesa.kz/a/show/215149233?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=261,192 000 000₸,,,Шымкент,30 апреля,2392,FALSE,FALSE,TRUE,,,192 000 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),26 км,Автомат,Полный привод,Слева,черный металлик,Да,all,192000000
Mercedes-Benz GLE Coupe 4MATIC,2019,https://kolesa.kz/a/show/209258422?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=262,74 200 000₸,,,Астана,30 апреля,1223,FALSE,FALSE,TRUE,,,74 200 000 ₸,2019 - н.в. C293,Кроссовер,3 (бензин),26 км,Автомат,Полный привод,Слева,черный металлик,Да,all,74200000
Mercedes-Benz G 63 AMG 4MATIC,2018,https://kolesa.kz/a/show/190251158?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=263,159 900 000₸,,,Алматы,30 апреля,4501,FALSE,FALSE,TRUE,,146 412 000 ₸,159 900 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),26 км,Автомат,Полный привод,Слева,коричневый металлик,Да,all,159900000
Lincoln Navigator,2017,https://kolesa.kz/a/show/217005318?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=264,82 000 000₸,,,Алматы,30 апреля,756,TRUE,FALSE,FALSE,,,82 000 000 ₸,2017 - н.в. 4 поколение,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,,Да,all,82000000
Nissan Patrol Platinum City,2024,https://kolesa.kz/a/show/216193795?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=265,61 900 000₸,,,Алматы,30 апреля,2213,FALSE,TRUE,FALSE,,,61 900 000 ₸,2024 - н.в. Y63,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,черный металлик,Да,all,61900000
Lexus LX 700h F Sport,2021,https://kolesa.kz/a/show/202869684?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=266,108 500 000₸,,,Алматы,30 апреля,7192,TRUE,FALSE,FALSE,,,108 500 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.4 (бензин),,Автомат,Полный привод,Слева,,Да,all,108500000
Lexus LX 700h Luxury,2021,https://kolesa.kz/a/show/218587884?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=267,91 500 000₸,,,Алматы,30 апреля,108,TRUE,FALSE,FALSE,,,91 500 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.4 (бензин),,Автомат,Полный привод,Слева,,Да,all,91500000
Mercedes-Benz AMG GT,2023,https://kolesa.kz/a/show/217644558?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=268,103 000 000₸,,,Алматы,30 апреля,993,TRUE,FALSE,FALSE,,,103 000 000 ₸,2023 - н.в. 2 поколение,Купе,4 (гибрид),,Автомат,Полный привод,Слева,,Нет,all,103000000
BMW X6 XDrive 40i,2023,https://kolesa.kz/a/show/213365212?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=269,78 224 000₸,,,Шымкент,30 апреля,527,FALSE,FALSE,TRUE,,71 041 000 ₸,78 224 000 ₸,2023 - н.в. G06 рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,черный металлик,Да,all,78224000
Land Rover Range Rover SE,2021,https://kolesa.kz/a/show/214600263?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=270,114 554 000₸,,,Усть-Каменогорск,30 апреля,393,TRUE,FALSE,FALSE,,,114 554 000 ₸,2021 - н.в. 5 поколение,Внедорожник,3 (бензин),,Автомат,Полный привод,Слева,,Да,all,114554000
Lexus LX 700h VIP,2021,https://kolesa.kz/a/show/217613971?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=271,89 000 000₸,,,Алматы,30 апреля,877,TRUE,FALSE,FALSE,,,89 000 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.4 (бензин),,Автомат,Полный привод,Слева,,Да,all,89000000
Toyota Land Cruiser,2021,https://kolesa.kz/a/show/218515706?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=272,63 500 000₸,584 021₸/мес,72%,Алматы,30 апреля,206,FALSE,FALSE,FALSE,584 021₸,60 621 000 ₸,63 500 000 ₸,2021 - н.в. J300,Внедорожник,3.5 (бензин),24 000 км,Автомат,Полный привод,Слева,черный,Да,all,63500000
Cadillac Escalade Premium Luxury Platinum,2024,https://kolesa.kz/a/show/215703621?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=273,97 770 000₸,,,Алматы,30 апреля,995,FALSE,FALSE,TRUE,,100 000 000 ₸,97 770 000 ₸,2024 - н.в. 5 поколение рестайлинг,Внедорожник,6.2 (бензин),,Автомат,Полный привод,Слева,,Да,all,97770000
Mercedes-Benz G 63 AMG 4MATIC,2018,https://kolesa.kz/a/show/195478833?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=274,154 000 000₸,,,Алматы,30 апреля,478,TRUE,FALSE,FALSE,,193 829 000 ₸,154 000 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),,Автомат,Полный привод,Слева,бронза,Да,all,154000000
BMW X7 XDrive 40i,2022,https://kolesa.kz/a/show/216435017?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=275,80 623 078₸,,,Алматы,30 апреля,225,FALSE,FALSE,TRUE,,79 300 000 ₸,80 623 078 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),23 км,Автомат,Полный привод,Слева,серый металлик,Да,all,80623078
RAM 1500 RHO,2023,https://kolesa.kz/a/show/212484867?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=276,64 000 000₸,,,Астана,30 апреля,2646,TRUE,FALSE,FALSE,,,64 000 000 ₸,2023 - н.в. 2 поколение рестайлинг,Пикап,3 (бензин),,Автомат,Полный привод,Слева,,Да,all,64000000
Mercedes-Benz V 300,2014,https://kolesa.kz/a/show/214399005?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=277,109 000 000₸,,,Алматы,30 апреля,3210,TRUE,FALSE,FALSE,,,109 000 000 ₸,2014 - н.в. W447,Минивэн,2 (бензин),,Автомат,Задний привод,Слева,,Да,all,109000000
Ford F-Series,2020,https://kolesa.kz/a/show/213933018?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=278,67 000 000₸,,,Алматы,30 апреля,578,FALSE,FALSE,FALSE,,64 157 000 ₸,67 000 000 ₸,2020 - н.в. 14 поколение,Пикап,3.5 (бензин),18 500 км,Автомат,Полный привод,Слева,белый металлик,Да,all,67000000
Nissan Patrol Platinum City,2024,https://kolesa.kz/a/show/216197315?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=279,61 900 000₸,,,Алматы,30 апреля,1737,FALSE,TRUE,FALSE,,,61 900 000 ₸,2024 - н.в. Y63,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,белый металлик,Да,all,61900000
Toyota Land Cruiser Prestige Off-Road,2021,https://kolesa.kz/a/show/179546929?search_id=b3acb23580b69474b476b73ebe863e5afa3af34e&search_type=filter&advert_position=280,67 190 000₸,,,Астана,30 апреля,328,FALSE,FALSE,TRUE,,67 236 000 ₸,67 190 000 ₸,2021 - н.в. J300,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,белый металлик,Да,all,67190000
BMW X5 XDrive 40i,2023,https://kolesa.kz/a/show/203236742?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=281,76 744 000₸,,,Усть-Каменогорск,30 апреля,1092,FALSE,FALSE,TRUE,,65 066 000 ₸,76 744 000 ₸,2023 - н.в. G05 рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,серый металлик,Да,all,76744000
Mercedes-Benz GLS 450 4MATIC,2019,https://kolesa.kz/a/show/215829048?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=282,75 500 000₸,,,Шымкент,30 апреля,1583,FALSE,FALSE,TRUE,,,75 500 000 ₸,2019 - н.в. X167,Внедорожник,3 (бензин),2 км,Автомат,Полный привод,Слева,черный металлик,Да,all,75500000
BMW X6 XDrive 40i,2023,https://kolesa.kz/a/show/213365245?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=283,75 300 000₸,,,Шымкент,30 апреля,1048,FALSE,FALSE,TRUE,,71 041 000 ₸,75 300 000 ₸,2023 - н.в. G06 рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,черный металлик,Да,all,75300000
BMW X6 XDrive 40i,2023,https://kolesa.kz/a/show/215618865?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=284,71 731 365₸,,,Алматы,30 апреля,1366,FALSE,FALSE,TRUE,,71 041 000 ₸,71 731 365 ₸,2023 - н.в. G06 рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,зеленый металлик,Да,all,71731365
Mercedes-Benz EQE SUV,2022,https://kolesa.kz/a/show/203778889?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=285,68 900 000₸,,,Актобе,30 апреля,539,FALSE,FALSE,TRUE,,,68 900 000 ₸,2022 - н.в. 1 поколение,Внедорожник,,26 км,Автомат,Полный привод,Слева,коричневый металлик,Да,all,68900000
Mercedes-Benz V 300 Exclusive,2014,https://kolesa.kz/a/show/208918668?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=286,69 000 000₸,,,Костанай,30 апреля,2433,FALSE,FALSE,TRUE,,,69 000 000 ₸,2014 - н.в. W447,Минивэн,2 (бензин),26 км,Автомат,Задний привод,Слева,черный металлик,Да,all,69000000
Mercedes-Benz GLS 450 4MATIC,2019,https://kolesa.kz/a/show/213144241?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=287,76 700 000₸,,,Караганда,30 апреля,2238,FALSE,FALSE,TRUE,,84 971 000 ₸,76 700 000 ₸,2019 - н.в. X167,Внедорожник,3 (бензин),26 км,Автомат,Полный привод,Слева,черный металлик,Да,all,76700000
Land Rover Range Rover Autobiography,2021,https://kolesa.kz/a/show/218473259?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=288,139 273 000₸,,,Шымкент,30 апреля,102,TRUE,FALSE,FALSE,,,139 273 000 ₸,2021 - н.в. 5 поколение,Внедорожник,4.4 (бензин),20 км,Автомат,Полный привод,Слева,золотистый металлик,Да,all,139273000
Infiniti QX80,2024,https://kolesa.kz/a/show/213983886?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=289,76 990 000₸,,,Астана,30 апреля,1249,FALSE,FALSE,TRUE,,,76 990 000 ₸,2024 - н.в. Z63,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,,Да,all,76990000
Infiniti QX80,2024,https://kolesa.kz/a/show/210924659?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=290,88 990 000₸,,,Актау,30 апреля,2534,FALSE,FALSE,TRUE,,,88 990 000 ₸,2024 - н.в. Z63,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,,Да,all,88990000
Mercedes-Benz GLE Coupe 450 AMG 4MATIC,2019,https://kolesa.kz/a/show/188464492?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=291,67 722 000₸,,,Алматы,30 апреля,1972,FALSE,FALSE,TRUE,,,67 722 000 ₸,2019 - н.в. C293,Кроссовер,3 (бензин),15 км,Автомат,Полный привод,Слева,белый,Да,all,67722000
Mercedes-Benz GLS 450 4MATIC,2019,https://kolesa.kz/a/show/211911521?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=292,74 000 000₸,,,Астана,30 апреля,5445,TRUE,FALSE,FALSE,,,74 000 000 ₸,2019 - н.в. X167,Внедорожник,3 (бензин),,Автомат,Полный привод,Слева,черный,Нет,all,74000000
BMW X7 XDrive 40i,2022,https://kolesa.kz/a/show/214474958?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=293,69 000 000₸,,,Алматы,30 апреля,2786,TRUE,FALSE,FALSE,,,69 000 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,,Нет,all,69000000
Porsche Cayenne Coupe Turbo GT,2023,https://kolesa.kz/a/show/198014462?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=294,184 500 000₸,,,Алматы,30 апреля,1032,FALSE,FALSE,TRUE,,,184 500 000 ₸,2023 - н.в. 3 поколение рестайлинг (9YB),Кроссовер,4 (бензин),,Автомат,Полный привод,Слева,серый,Да,all,184500000
Mercedes-Benz G 63 AMG 4MATIC,2024,https://kolesa.kz/a/show/129053974?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=295,213 000 000₸,,,Астана,30 апреля,9237,TRUE,FALSE,FALSE,,174 225 000 ₸,213 000 000 ₸,2024 - н.в. W463 рестайлинг,Внедорожник,4 (бензин),,Автомат,Полный привод,Слева,черный металлик,Да,all,213000000
BMW X5 XDrive 40i,2023,https://kolesa.kz/a/show/216458689?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=296,72 411 921₸,,,Алматы,30 апреля,694,FALSE,FALSE,TRUE,,65 066 000 ₸,72 411 921 ₸,2023 - н.в. G05 рестайлинг,Кроссовер,3 (бензин),7 км,Автомат,Полный привод,Слева,серый металлик,Да,all,72411921
Maserati GranCabrio Trofeo,2024,https://kolesa.kz/a/show/174184851?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=297,131 400 000₸,,,Алматы,30 апреля,4694,FALSE,FALSE,TRUE,,,131 400 000 ₸,2024 - н.в. 2 поколение,Кабриолет,3 (бензин),,Автомат,Задний привод,Слева,белый металлик,Да,all,131400000
Toyota Land Cruiser Luxe,2021,https://kolesa.kz/a/show/179550040?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=298,70 890 000₸,,,Астана,30 апреля,2046,FALSE,FALSE,TRUE,,67 236 000 ₸,70 890 000 ₸,2021 - н.в. J300,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,черный металлик,Да,all,70890000
Maserati GranCabrio Folgore,2024,https://kolesa.kz/a/show/192098848?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=299,125 000 000₸,,,Алматы,30 апреля,3580,FALSE,FALSE,TRUE,,,125 000 000 ₸,2024 - н.в. 2 поколение,Кабриолет,,,Автомат,Полный привод,Слева,синий,Да,all,125000000
Mercedes-Benz GLE Coupe 450 AMG 4MATIC,2019,https://kolesa.kz/a/show/207246116?search_id=751d3286c96e30e99eb8fa77b46dbef70601dd62&search_type=filter&advert_position=300,72 800 000₸,,,Уральск,30 апреля,1081,FALSE,FALSE,TRUE,,,72 800 000 ₸,2019 - н.в. C293,Кроссовер,3 (бензин),26 км,Автомат,Полный привод,Слева,белый,Да,all,72800000
Porsche Cayenne Coupe Turbo GT,2023,https://kolesa.kz/a/show/198014462?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=301,184 500 000₸,,,Алматы,30 апреля,1033,FALSE,FALSE,TRUE,,,184 500 000 ₸,2023 - н.в. 3 поколение рестайлинг (9YB),Кроссовер,4 (бензин),,Автомат,Полный привод,Слева,серый,Да,all,184500000
Mercedes-Benz G 63 AMG 4MATIC,2024,https://kolesa.kz/a/show/129053974?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=302,213 000 000₸,,,Астана,30 апреля,9238,TRUE,FALSE,FALSE,,174 225 000 ₸,213 000 000 ₸,2024 - н.в. W463 рестайлинг,Внедорожник,4 (бензин),,Автомат,Полный привод,Слева,черный металлик,Да,all,213000000
BMW X5 XDrive 40i,2023,https://kolesa.kz/a/show/216458689?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=303,72 411 921₸,,,Алматы,30 апреля,695,FALSE,FALSE,TRUE,,65 066 000 ₸,72 411 921 ₸,2023 - н.в. G05 рестайлинг,Кроссовер,3 (бензин),7 км,Автомат,Полный привод,Слева,серый металлик,Да,all,72411921
Maserati GranCabrio Trofeo,2024,https://kolesa.kz/a/show/174184851?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=304,131 400 000₸,,,Алматы,30 апреля,4695,FALSE,FALSE,TRUE,,,131 400 000 ₸,2024 - н.в. 2 поколение,Кабриолет,3 (бензин),,Автомат,Задний привод,Слева,белый металлик,Да,all,131400000
Toyota Land Cruiser Luxe,2021,https://kolesa.kz/a/show/179550040?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=305,70 890 000₸,,,Астана,30 апреля,2047,FALSE,FALSE,TRUE,,67 236 000 ₸,70 890 000 ₸,2021 - н.в. J300,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,черный металлик,Да,all,70890000
Maserati GranCabrio Folgore,2024,https://kolesa.kz/a/show/192098848?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=306,125 000 000₸,,,Алматы,30 апреля,3581,FALSE,FALSE,TRUE,,,125 000 000 ₸,2024 - н.в. 2 поколение,Кабриолет,,,Автомат,Полный привод,Слева,синий,Да,all,125000000
Mercedes-Benz GLE Coupe 450 AMG 4MATIC,2019,https://kolesa.kz/a/show/207246116?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=307,72 800 000₸,,,Уральск,30 апреля,1082,FALSE,FALSE,TRUE,,,72 800 000 ₸,2019 - н.в. C293,Кроссовер,3 (бензин),26 км,Автомат,Полный привод,Слева,белый,Да,all,72800000
Mercedes-Benz GLS 450 4MATIC,2019,https://kolesa.kz/a/show/213148621?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=308,75 800 000₸,,,Костанай,30 апреля,2549,FALSE,FALSE,TRUE,,84 971 000 ₸,75 800 000 ₸,2019 - н.в. X167,Внедорожник,3 (бензин),26 км,Автомат,Полный привод,Слева,черный металлик,Да,all,75800000
Lexus LX 700h F Sport,2021,https://kolesa.kz/a/show/210955848?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=309,102 500 000₸,,,Семей,30 апреля,6267,TRUE,FALSE,FALSE,,,102 500 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (гибрид),,Автомат,Полный привод,Слева,черный металлик,Да,all,102500000
Ford F-Series,2020,https://kolesa.kz/a/show/211339609?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=310,67 000 000₸,,,Алматы,30 апреля,2359,TRUE,FALSE,FALSE,,,67 000 000 ₸,2020 - н.в. 14 поколение,Пикап,6.7 (дизель),,Автомат,Полный привод,Слева,,Да,all,67000000
Dodge RAM,2018,https://kolesa.kz/a/show/212091609?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=311,64 000 000₸,,,Алматы,30 апреля,1976,TRUE,FALSE,FALSE,,,64 000 000 ₸,2018 - н.в. 5 поколение,Пикап,3 (бензин),,Автомат,Полный привод,Слева,,Да,all,64000000
GMC Yukon,2020,https://kolesa.kz/a/show/214311493?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=312,84 700 000₸,,,Алматы,30 апреля,3785,TRUE,FALSE,FALSE,,,84 700 000 ₸,2020 - н.в. GMT1YC,Внедорожник,6.2 (бензин),,Автомат,Полный привод,Слева,,Да,all,84700000
Land Rover Range Rover,2021,https://kolesa.kz/a/show/217649157?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=313,103 000 000₸,,,Алматы,30 апреля,316,TRUE,FALSE,FALSE,,,103 000 000 ₸,2021 - н.в. 5 поколение,Внедорожник,4.4 (бензин),,Автомат,Полный привод,Слева,,Нет,all,103000000
Infiniti QX80 Sensory,2024,https://kolesa.kz/a/show/213983888?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=314,76 990 000₸,,,Кокшетау,30 апреля,1499,FALSE,FALSE,TRUE,,,76 990 000 ₸,2024 - н.в. Z63,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,,Да,all,76990000
Porsche 911 Carrera GTS,2018,https://kolesa.kz/a/show/217628514?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=315,84 000 000₸,,,Алматы,30 апреля,1199,TRUE,FALSE,FALSE,,,84 000 000 ₸,2018 - н.в. 992,Кабриолет,3 (бензин),,Робот,Задний привод,Слева,,Нет,all,84000000
Toyota Land Cruiser GR Sport,2021,https://kolesa.kz/a/show/211800019?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=316,73 990 000₸,,,Алматы,30 апреля,7523,FALSE,FALSE,TRUE,,,73 990 000 ₸,2021 - н.в. J300,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,черный,Да,all,73990000
Mercedes-Benz GLE 53 AMG,2019,https://kolesa.kz/a/show/205343066?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=317,72 000 000₸,,,Алматы,30 апреля,153,FALSE,FALSE,FALSE,,,72 000 000 ₸,2019 - н.в. V167,Кроссовер,3 (бензин),6 000 км,Автомат,Полный привод,Слева,черный металлик,Да,all,72000000
Lincoln Navigator,2017,https://kolesa.kz/a/show/217004694?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=318,72 000 000₸,,,Алматы,30 апреля,805,TRUE,FALSE,FALSE,,,72 000 000 ₸,2017 - н.в. 4 поколение,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,,Да,all,72000000
Mercedes-Benz G 63 AMG 4MATIC,2018,https://kolesa.kz/a/show/209667429?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=319,176 500 000₸,,,Алматы,30 апреля,3923,TRUE,FALSE,FALSE,,193 829 000 ₸,176 500 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),,Автомат,Полный привод,Слева,,Да,all,176500000
Audi e-tron GT,2020,https://kolesa.kz/a/show/217210198?search_id=2b1fdbe94c8d9bc998b55045329ac5749c8c173b&search_type=filter&advert_position=320,69 900 000₸,,,Алматы,30 апреля,655,TRUE,FALSE,FALSE,,,69 900 000 ₸,2020 - н.в. 1 поколение,Седан,,16 300 км,Автомат,Полный привод,Слева,,Да,all,69900000
Lincoln Navigator,2017,https://kolesa.kz/a/show/217004694?search_id=98af25d4bbe0c15f4015cce29f8891ad9c8ea72c&search_type=filter&advert_position=321,72 000 000₸,,,Алматы,30 апреля,806,TRUE,FALSE,FALSE,,,72 000 000 ₸,2017 - н.в. 4 поколение,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,,Да,all,72000000
Mercedes-Benz G 63 AMG 4MATIC,2018,https://kolesa.kz/a/show/209667429?search_id=98af25d4bbe0c15f4015cce29f8891ad9c8ea72c&search_type=filter&advert_position=322,176 500 000₸,,,Алматы,30 апреля,3924,TRUE,FALSE,FALSE,,193 829 000 ₸,176 500 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),,Автомат,Полный привод,Слева,,Да,all,176500000
Audi e-tron GT,2020,https://kolesa.kz/a/show/217210198?search_id=98af25d4bbe0c15f4015cce29f8891ad9c8ea72c&search_type=filter&advert_position=323,69 900 000₸,,,Алматы,30 апреля,656,TRUE,FALSE,FALSE,,,69 900 000 ₸,2020 - н.в. 1 поколение,Седан,,16 300 км,Автомат,Полный привод,Слева,,Да,all,69900000
BMW X5 XDrive 40i,2023,https://kolesa.kz/a/show/203220929?search_id=98af25d4bbe0c15f4015cce29f8891ad9c8ea72c&search_type=filter&advert_position=324,75 224 000₸,,,Усть-Каменогорск,30 апреля,633,FALSE,FALSE,TRUE,,65 066 000 ₸,75 224 000 ₸,2023 - н.в. G05 рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,серый металлик,Да,all,75224000
Mercedes-Benz S 450,2020,https://kolesa.kz/a/show/217030625?search_id=98af25d4bbe0c15f4015cce29f8891ad9c8ea72c&search_type=filter&advert_position=325,76 997 473₸,,,Астана,30 апреля,368,TRUE,FALSE,FALSE,,79 319 000 ₸,76 997 473 ₸,2020 - н.в. W223,Седан,3 (бензин),39 019 км,Автомат,Полный привод,Слева,черный,Да,all,76997473
Mercedes-Benz EQS SUV,2022,https://kolesa.kz/a/show/203784466?search_id=98af25d4bbe0c15f4015cce29f8891ad9c8ea72c&search_type=filter&advert_position=326,104 600 000₸,,,Атырау,30 апреля,2121,FALSE,FALSE,TRUE,,,104 600 000 ₸,2022 - н.в. 1 поколение,Кроссовер,,26 км,Автомат,Полный привод,Слева,синий металлик,Да,all,104600000
Mercedes-Benz GLE Coupe 450 AMG 4MATIC,2019,https://kolesa.kz/a/show/213477331?search_id=98af25d4bbe0c15f4015cce29f8891ad9c8ea72c&search_type=filter&advert_position=327,71 000 000₸,,,Шымкент,30 апреля,1194,FALSE,FALSE,TRUE,,,71 000 000 ₸,2019 - н.в. C293,Кроссовер,3 (бензин),26 км,Автомат,Полный привод,Слева,белый,Да,all,71000000
Mercedes-Benz GLE 450 4MATIC,2019,https://kolesa.kz/a/show/210321511?search_id=98af25d4bbe0c15f4015cce29f8891ad9c8ea72c&search_type=filter&advert_position=328,72 900 000₸,,,Актау,30 апреля,1936,FALSE,FALSE,TRUE,,,72 900 000 ₸,2019 - н.в. V167,Кроссовер,3 (бензин),26 км,Автомат,Полный привод,Слева,серый металлик,Да,all,72900000
